username,user id,access hash,name,group,group id
Almogv,6954241190,-8753861799979833982,Almog Nissan | LETSTOP,ğŸ™ğŸ«§Tako Protocol,1964332806
AsylumReid,41159843,-3775225653435334881,veen kumar,ğŸ™ğŸ«§Tako Protocol,1964332806
alexchenzl,250314927,6471523439262585066,Alex Chen,ğŸ™ğŸ«§Tako Protocol,1964332806
ellisliu,1493937538,8278528565373855593,Ellis,ğŸ™ğŸ«§Tako Protocol,1964332806
A0x11111,1105417340,3887148197524514982,Lynn,ğŸ™ğŸ«§Tako Protocol,1964332806
lucwerzowski,377911918,-223574007292127144,lucas,ğŸ™ğŸ«§Tako Protocol,1964332806
Web3Steve,1328127595,8754901240135954650,Steve | Web 3.0,ğŸ™ğŸ«§Tako Protocol,1964332806
cryptofanatic0,6514178013,4143711457894640358,Rohit Kumar,ğŸ™ğŸ«§Tako Protocol,1964332806
,6381778306,2245094593595007421,Md Shamim,ğŸ™ğŸ«§Tako Protocol,1964332806
JulieTheTako,5734317281,-721964554946919501,JULIEğŸ”µ,ğŸ™ğŸ«§Tako Protocol,1964332806
,1949198673,-6581814660777726860,,ğŸ™ğŸ«§Tako Protocol,1964332806
Maria_8976,5203723707,2011047608397889838,D Maria,ğŸ™ğŸ«§Tako Protocol,1964332806
rayneezy,7102149181,-9146098854248696926,Rayne,ğŸ™ğŸ«§Tako Protocol,1964332806
metabeem,7184621597,6939704474906522918,MetaBeem,ğŸ™ğŸ«§Tako Protocol,1964332806
dev_swaroop,5679290279,2803003327461794861,Dev | Blockchained India,ğŸ™ğŸ«§Tako Protocol,1964332806
tiger_thnp,5030371331,7758519554445623329,Tiger WEB3 ( 9 Cat Digital ),ğŸ™ğŸ«§Tako Protocol,1964332806
Kimhj96,1442947982,4397293916368853432,HJ,ğŸ™ğŸ«§Tako Protocol,1964332806
basecrow,5952253716,4834592346834363880,Tse Chris,ğŸ™ğŸ«§Tako Protocol,1964332806
NaZmuLIslam52666,6447047509,-696421729640340559,Crypto Atom,ğŸ™ğŸ«§Tako Protocol,1964332806
ListingPartner_Kaushal,739622014,3044726274374728034,"Kaushal | CEX Listing Officer | CMC, CG CEX Listing & IEO",ğŸ™ğŸ«§Tako Protocol,1964332806
ezekkious,939254323,5171261812451004998,eze,ğŸ™ğŸ«§Tako Protocol,1964332806
CryptoHead3,1316062803,-8021921270859648888,CryptoHead,ğŸ™ğŸ«§Tako Protocol,1964332806
im_Saqlain,6784679758,5825899564903507268,Saqlain,ğŸ™ğŸ«§Tako Protocol,1964332806
,7137189453,1327941737350233125,Cheng Gao,ğŸ™ğŸ«§Tako Protocol,1964332806
JiniaNayak,5079368650,-6763193261599073469,Jinia Nayak,ğŸ™ğŸ«§Tako Protocol,1964332806
enjayeon,5245048022,-3558073566541564794,Noodle,ğŸ™ğŸ«§Tako Protocol,1964332806
HashJatt,401876325,5890752341668610874,Hash,ğŸ™ğŸ«§Tako Protocol,1964332806
JasonOutland,1665609664,7992948428312471552,Jason Outland,ğŸ™ğŸ«§Tako Protocol,1964332806
apingfeng,1339984503,9085348518198187048,Ping,ğŸ™ğŸ«§Tako Protocol,1964332806
Charchit_web3,1238798645,6654822360788072943,Charchit | VaraNetwork \ MissCall-if-Not-responding,ğŸ™ğŸ«§Tako Protocol,1964332806
takotony,2062252430,5374776812601883946,TonyW ğŸ™ğŸ«§,ğŸ™ğŸ«§Tako Protocol,1964332806
rrrusx,484890967,-40140536812854385,Ruslan,ğŸ™ğŸ«§Tako Protocol,1964332806
HankowNIGE,1002081755,3719179932010670940,jam,ğŸ™ğŸ«§Tako Protocol,1964332806
IC1101Galaxy,5919309954,6351860533457326687,IC1101,ğŸ™ğŸ«§Tako Protocol,1964332806
dddiii0,6126193575,4496459324781634840,D,ğŸ™ğŸ«§Tako Protocol,1964332806
matrix358,631563237,-1164195217928627466,Matrix,ğŸ™ğŸ«§Tako Protocol,1964332806
CoinHuSays,5114552686,-1260862404076014930,CoinHuSayså¸åœˆèƒ¡ä¾ƒ,ğŸ™ğŸ«§Tako Protocol,1964332806
catchiller,737076304,-7573694192737074804,Adita,ğŸ™ğŸ«§Tako Protocol,1964332806
howdy_akshay,209390056,166377791219076871,Akshay Aggarwal | Blockchained India,ğŸ™ğŸ«§Tako Protocol,1964332806
deribet,6882571801,-3924101663684496764,Caesar Deribet,ğŸ™ğŸ«§Tako Protocol,1964332806
,6514839730,-1390139599496242606,é»‘æ¡ƒA123,ğŸ™ğŸ«§Tako Protocol,1964332806
,1854478640,-3577397596366862493,ç‰› å¤§,ğŸ™ğŸ«§Tako Protocol,1964332806
marukomaruko,5025657730,-1285667282975795662,Maruâ†‘,ğŸ™ğŸ«§Tako Protocol,1964332806
abcdefg1886,6655418431,3992086180310321578,æ¬¡ æ¬¡,ğŸ™ğŸ«§Tako Protocol,1964332806
AAAJaychou,892030624,6408138229219164643,Jay,ğŸ™ğŸ«§Tako Protocol,1964332806
,5992313383,-2849981755704595193,yunhe,ğŸ™ğŸ«§Tako Protocol,1964332806
easonchan712,2126251973,-5974477889433978247,chen eason,ğŸ™ğŸ«§Tako Protocol,1964332806
ChesiaC,2073145500,-6914787616971245717,Chesia,ğŸ™ğŸ«§Tako Protocol,1964332806
illililillilllI,1792965656,-5438028998821629698,æ¸¡æœˆæ©‹,ğŸ™ğŸ«§Tako Protocol,1964332806
Chris_Spherex,1739508373,8361605099111086095,Chris | spherex,ğŸ™ğŸ«§Tako Protocol,1964332806
dteni,6050920668,7805106236129054619,dtenier gen,ğŸ™ğŸ«§Tako Protocol,1964332806
youmo0o,1899981402,-2973048595588180733,youmo,ğŸ™ğŸ«§Tako Protocol,1964332806
Shininggold,395296327,-6384022570014929314,Jimmy Chen,ğŸ™ğŸ«§Tako Protocol,1964332806
d_ttang,5539821550,-2097671550766947578,d_ttang,ğŸ™ğŸ«§Tako Protocol,1964332806
skyhighfeng,464236313,-6768025401986681032,Skyhigh,ğŸ™ğŸ«§Tako Protocol,1964332806
maiaaa00,5274640483,-6911338871205338104,Maia,ğŸ™ğŸ«§Tako Protocol,1964332806
Anson_001,5411328763,-5925439900086961950,Anson | MM-Bot | Swap SaaS,ğŸ™ğŸ«§Tako Protocol,1964332806
arnav_gf,1980579657,7201845044732610694,Arnav,ğŸ™ğŸ«§Tako Protocol,1964332806
,5802395341,-4311128822008540046,Rachel.z,ğŸ™ğŸ«§Tako Protocol,1964332806
Amybitmain,1789855865,2174150929770061212,Amy li ï½œBITMAIN,ğŸ™ğŸ«§Tako Protocol,1964332806
xvsind,1201828880,-7389833303593213859,zkRAY,ğŸ™ğŸ«§Tako Protocol,1964332806
jodith6,476492803,-2760430604791224575,W Jodith,ğŸ™ğŸ«§Tako Protocol,1964332806
hirectjeff,7069567283,7601532972925894605,Jeff | People3,ğŸ™ğŸ«§Tako Protocol,1964332806
BendikL,1564064807,-8864848892586107930,Ben,ğŸ™ğŸ«§Tako Protocol,1964332806
harshcrop,994884104,7307429537337393554,Harsh,ğŸ™ğŸ«§Tako Protocol,1964332806
meooooooooooooooow,319932362,-6887613200714186575,Meow,ğŸ™ğŸ«§Tako Protocol,1964332806
Shivanshu814,5007111085,-6048453423399454804,Shivanshu | CTO @TouchTechnologies | Token2049,ğŸ™ğŸ«§Tako Protocol,1964332806
zoemc,585967731,-3906582097941301402,zoÃ© mc,ğŸ™ğŸ«§Tako Protocol,1964332806
Rekt_iAm,1064047512,8753451289970458803,rekt,ğŸ™ğŸ«§Tako Protocol,1964332806
phamhongsoncss,466595535,-4020917872103170479,Son Pham | Titans Ventures | UTC+7,ğŸ™ğŸ«§Tako Protocol,1964332806
serdarfs,429830496,-4375374723510635649,Serdar | HTX,ğŸ™ğŸ«§Tako Protocol,1964332806
alexsmn,808949413,-2770190589728805133,Alex,ğŸ™ğŸ«§Tako Protocol,1964332806
melikebarut,957087726,4006405938150675878,Melike Barut,ğŸ™ğŸ«§Tako Protocol,1964332806
SulimanBosso,151363653,6964373485818044497,Suliman | MAFIA,ğŸ™ğŸ«§Tako Protocol,1964332806
xmzys,478791450,189448896631176468,x,ğŸ™ğŸ«§Tako Protocol,1964332806
the_aryanag,1876562511,-5466660914199188648,Aryan,ğŸ™ğŸ«§Tako Protocol,1964332806
jasonhsiu,1791600424,4110973476868242042,Jason Hsiu,ğŸ™ğŸ«§Tako Protocol,1964332806
visionqwe,1913624025,5510690415080494010,Visionï½œMetastone,ğŸ™ğŸ«§Tako Protocol,1964332806
Jake_Ed,1129925135,2715808267167750392,Jake | Kryptonim | Consensus (29/31 MAY),ğŸ™ğŸ«§Tako Protocol,1964332806
Cryptoweb3man,1701784968,-4969481922895613550,Cryptoman,ğŸ™ğŸ«§Tako Protocol,1964332806
Sveeti_k,411746805,-2548260937705401201,Svetlana,ğŸ™ğŸ«§Tako Protocol,1964332806
Strysus,292377985,-4413693251403289252,Jamez,ğŸ™ğŸ«§Tako Protocol,1964332806
CyrielKriel,5600750917,9194536538373029928,Cyriel K,ğŸ™ğŸ«§Tako Protocol,1964332806
cynptk,559889419,-2985395103365642510,Cynthia,ğŸ™ğŸ«§Tako Protocol,1964332806
GyorgyB,279903820,3844143472837059798,George,ğŸ™ğŸ«§Tako Protocol,1964332806
Gab_Tako,22810479,-3004540596327932599,Gab | Tako,ğŸ™ğŸ«§Tako Protocol,1964332806
rencrypta,360135907,4870230309178747516,Ren,ğŸ™ğŸ«§Tako Protocol,1964332806
Tay2931,5017197060,-5217639612996382442,Co Jay / 6.4-6.10 GM ğŸ‡»ğŸ‡³,ğŸ™ğŸ«§Tako Protocol,1964332806
solomiya95d,1758394933,-1897007817024370121,Solomiya,ğŸ™ğŸ«§Tako Protocol,1964332806
Nitin_Kumar7,1606833401,-7202857922151189620,Nitin K,ğŸ™ğŸ«§Tako Protocol,1964332806
Thecryptoalchemist,451585192,-8802954550866848388,Safetravels,ğŸ™ğŸ«§Tako Protocol,1964332806
Metacasper,454364846,7356807046762567475,Greg | RWA ğŸ‡«ğŸ‡·ğŸ‡²ğŸ‡½,ğŸ™ğŸ«§Tako Protocol,1964332806
Stancolend,6641595860,-5273100301054003441,Stan | Colend,ğŸ™ğŸ«§Tako Protocol,1964332806
atx237v7,242891231,4529348182120013435,Evgeny Raykov,ğŸ™ğŸ«§Tako Protocol,1964332806
echo_zxh,5956966150,-8508675386755864424,echo@XAR,ğŸ™ğŸ«§Tako Protocol,1964332806
,98918065,-7530779755274400224,roulağŸŒ·,ğŸ™ğŸ«§Tako Protocol,1964332806
dendisuhubdy,1262422418,-4404622518031580243,Dendi Suhubdy | Bitwyre @Coinfest Bali August 2024,ğŸ™ğŸ«§Tako Protocol,1964332806
Rungifer,1401357119,-4839945567368029588,Captain Belong To Us,ğŸ™ğŸ«§Tako Protocol,1964332806
TuringWenxin,6416031235,-6862366241180633881,Turing Wenxin,ğŸ™ğŸ«§Tako Protocol,1964332806
oliolioliviao,5098475415,3841674135346423864,Olioliolivia,ğŸ™ğŸ«§Tako Protocol,1964332806
yanyanista,5016146880,1664412597515086491,YY,ğŸ™ğŸ«§Tako Protocol,1964332806
thenetworker99,484121063,-1921920246069884219,Roberto R.,ğŸ™ğŸ«§Tako Protocol,1964332806
AndyAlek,221589280,-6715820310909631304,Andy Alekhin,ğŸ™ğŸ«§Tako Protocol,1964332806
ilyaaarazum,391680050,7251450299237915881,Ilya,ğŸ™ğŸ«§Tako Protocol,1964332806
alex4li,1443349230,-19685222613809214,Alex Li,ğŸ™ğŸ«§Tako Protocol,1964332806
kuwabara83,898261131,5681022556338676487,Atsushi Kuwabara,ğŸ™ğŸ«§Tako Protocol,1964332806
,6754100034,-2347367222172097803,Jolly | Token2049 âœˆï¸,ğŸ™ğŸ«§Tako Protocol,1964332806
StPinkie,331087104,-7815574255558846180,"Daniel ""St. Pinkie"" Anthony",ğŸ™ğŸ«§Tako Protocol,1964332806
ClodyMeatstick,263565089,-2477868299170904011,B T,ğŸ™ğŸ«§Tako Protocol,1964332806
dimmix_ua,543934706,-4629551888016768988,Ğ”Ğ¼Ñ‹Ñ‚Ñ€Ğ¾ | Dmytro,ğŸ™ğŸ«§Tako Protocol,1964332806
wernah98,521301436,526975699487418002,Wernah,ğŸ™ğŸ«§Tako Protocol,1964332806
OxRansom,641977977,4489072706647761429,Josh Ransom,ğŸ™ğŸ«§Tako Protocol,1964332806
evswars,6538962171,1360607295246476898,ç„¡ ä¿®,ğŸ™ğŸ«§Tako Protocol,1964332806
avk_007,524941376,-4832462560946840386,Ad Van Kemenade,ğŸ™ğŸ«§Tako Protocol,1964332806
SilviaMogas,731704654,-4524150266578327979,Silvia Mogas | BMBWeb3,ğŸ™ğŸ«§Tako Protocol,1964332806
xJustinW,1568111717,1510171918586034576,0xJustinW.eth | UTC+8,ğŸ™ğŸ«§Tako Protocol,1964332806
Adi_tak,894678653,4340322233847953411,Aditya Tak,ğŸ™ğŸ«§Tako Protocol,1964332806
Yaseenammaar,1674517525,-8311784079373764160,Yaseen Ammaar,ğŸ™ğŸ«§Tako Protocol,1964332806
kaneaidoo,1825853345,1910864482181781512,Kane - Palisade,ğŸ™ğŸ«§Tako Protocol,1964332806
olehmell,386132742,2339031315768650911,olehmell,ğŸ™ğŸ«§Tako Protocol,1964332806
Arnaud_Agartha,791841539,7815583867453962381,Arnaud,ğŸ™ğŸ«§Tako Protocol,1964332806
Abbasshaikh01,1640476333,-2606455568735192101,Abbas,ğŸ™ğŸ«§Tako Protocol,1964332806
Isham_R,6645914870,-2459665646019004065,ğŸ‘¨ğŸ»â€ğŸ’» Isham Rashik ğŸ¤–,ğŸ™ğŸ«§Tako Protocol,1964332806
tmphey,191160676,3626971610368586367,Tim,ğŸ™ğŸ«§Tako Protocol,1964332806
P3F3Era,466655955,-2293860946775893868,P3F3,ğŸ™ğŸ«§Tako Protocol,1964332806
yuliya0x,6802438059,-7834892345262128227,Yuliya,ğŸ™ğŸ«§Tako Protocol,1964332806
DmitryWasHere,725976103,-4974902898422080805,Dmitry,ğŸ™ğŸ«§Tako Protocol,1964332806
maxslt,3091489,-6208105497287947752,Max S,ğŸ™ğŸ«§Tako Protocol,1964332806
nonfungibledude,1665134215,6205017887268265884,Ian | XLD,ğŸ™ğŸ«§Tako Protocol,1964332806
will_dre_duran,2063718286,-338796040632139124,William Duran,ğŸ™ğŸ«§Tako Protocol,1964332806
sarahbotache,1981107483,3299008672524788980,Sarah Lucia Botache,ğŸ™ğŸ«§Tako Protocol,1964332806
Kareemikassab,1517600597,8183679567562139889,Kareem Kassab,ğŸ™ğŸ«§Tako Protocol,1964332806
vestor0x,1428517603,-4714187428210514440,Vestor,ğŸ™ğŸ«§Tako Protocol,1964332806
,1685444760,3287307442377120047,,ğŸ™ğŸ«§Tako Protocol,1964332806
tusk0304,5137862349,-8177021744052260297,Tasuku Matsukura,ğŸ™ğŸ«§Tako Protocol,1964332806
marisamcknight,451266535,-3956117055559037146,Marisa | çœŸç†ç´—,ğŸ™ğŸ«§Tako Protocol,1964332806
xosecasal76,5002244365,2877584597676177463,Xose,ğŸ™ğŸ«§Tako Protocol,1964332806
otodidakt_20,2055331847,-4419846283353187182,anishi | 0xRivendell,ğŸ™ğŸ«§Tako Protocol,1964332806
warelik,727261494,2314534680062186936,Valery,ğŸ™ğŸ«§Tako Protocol,1964332806
cybergracee,1910669621,-336112674738958803,Grace,ğŸ™ğŸ«§Tako Protocol,1964332806
abhinav_btc,1876163950,8087089244659057032,Abhinav Gupta,ğŸ™ğŸ«§Tako Protocol,1964332806
aviroxi,702309954,8114261810605889844,Guru | Zeru Finance,ğŸ™ğŸ«§Tako Protocol,1964332806
rush905,1832815658,8623904786737226375,William,ğŸ™ğŸ«§Tako Protocol,1964332806
Federicap_art,5314920435,-6992873746073154532,Federica,ğŸ™ğŸ«§Tako Protocol,1964332806
farooqchisty,1243061656,8135293318478076446,Farooq | zo.me,ğŸ™ğŸ«§Tako Protocol,1964332806
suhelkap,1060313391,-5600447624417104285,Suhel,ğŸ™ğŸ«§Tako Protocol,1964332806
yovelal,2034245812,-3093436680018976988,Yovela,ğŸ™ğŸ«§Tako Protocol,1964332806
limkeunsol,866412817,3270298454271414777,Kade,ğŸ™ğŸ«§Tako Protocol,1964332806
Tastingoeth,1916171982,3523098870492526429,0xtalinï¼ˆå¡”æ—ï¼‰ CrunchSpace,ğŸ™ğŸ«§Tako Protocol,1964332806
yachy,459358648,-9034849747542086614,Meek,ğŸ™ğŸ«§Tako Protocol,1964332806
denisetech,6826709445,-7287144002446206237,Denise Tech,ğŸ™ğŸ«§Tako Protocol,1964332806
mrlastminut3,211361391,2712217112108189237,mrlastminut3 ğŸŒ - Token2049 ğŸ‡¦ğŸ‡ª,ğŸ™ğŸ«§Tako Protocol,1964332806
Adi_khan_111,6706945104,-4674565270572253647,Adi,ğŸ™ğŸ«§Tako Protocol,1964332806
Rysipan,155652898,-3127216031376654273,Ğ’Ğ¸Ñ‚Ğ°Ğ»Ğ¸Ğµ Ğ Ñ‹ÑĞ¸Ğ¿Ğ°Ğ½ | Ğ¼Ğ°Ñ€ĞºĞµÑ‚Ğ¸Ğ½Ğ³ Ğ´Ğ»Ñ ÑÑ‚Ğ°Ñ€Ñ‚Ğ°Ğ¿Ğ¾Ğ² |,ğŸ™ğŸ«§Tako Protocol,1964332806
Marptofounder,1854665362,-6705018791266753066,Marpto,ğŸ™ğŸ«§Tako Protocol,1964332806
soomehta,6340150118,2467866026440720348,Soham M,ğŸ™ğŸ«§Tako Protocol,1964332806
D_Mancer,387985405,-3584774976740692034,D Mancer,ğŸ™ğŸ«§Tako Protocol,1964332806
Louise_Luo,7023013620,1589593483196796772,Louise Luo,ğŸ™ğŸ«§Tako Protocol,1964332806
NeedETHforGas,6363284253,-6109951233836852398,M J,ğŸ™ğŸ«§Tako Protocol,1964332806
aler_eth,144858903,3805150654397637141,aler.eth | tookey,ğŸ™ğŸ«§Tako Protocol,1964332806
DonCorleone403,2121855371,7435660242728949186,Don Corleone,ğŸ™ğŸ«§Tako Protocol,1964332806
tunwestmoon,548195894,-7251811483751926611,Moon,ğŸ™ğŸ«§Tako Protocol,1964332806
AndreyQBsoft,6319350388,3832151738918451278,AndreyQB,ğŸ™ğŸ«§Tako Protocol,1964332806
Phoenix_Project_LTD,5620974782,-1136761896401066741,Alex,ğŸ™ğŸ«§Tako Protocol,1964332806
CryptoMike0x,5405088732,-2313224914117437529,Mikeï½œ POP,ğŸ™ğŸ«§Tako Protocol,1964332806
msanti,1478922384,-1994739638074240111,Marcos Santillana,ğŸ™ğŸ«§Tako Protocol,1964332806
lydiapallot,6599896816,-570447477511969893,Lydia Pallot,ğŸ™ğŸ«§Tako Protocol,1964332806
jrjy1,223795792,-3222539868983437821,Jon | coinseeker.co,ğŸ™ğŸ«§Tako Protocol,1964332806
Lizard420,6910372762,-2642119490962298817,Lizard God,ğŸ™ğŸ«§Tako Protocol,1964332806
vinsato,5613716017,-7873432009232385749,vct,ğŸ™ğŸ«§Tako Protocol,1964332806
MikeJin1217,5661511914,-5238838919919840616,Mike Jin,ğŸ™ğŸ«§Tako Protocol,1964332806
gracelsw24,498957654,2878398543296260904,Grace Li l Google Cloud,ğŸ™ğŸ«§Tako Protocol,1964332806
ceciliali9,412364235,-4048496601103925033,C,ğŸ™ğŸ«§Tako Protocol,1964332806
B_B87,1226378345,8536782195970463009,BB,ğŸ™ğŸ«§Tako Protocol,1964332806
paultan0x,1826048922,-3574936178964417815,Paul (Por) Cleverse Ventures,ğŸ™ğŸ«§Tako Protocol,1964332806
e_childsplay,998879186,7898483153471018126,Shadow,ğŸ™ğŸ«§Tako Protocol,1964332806
maxeeze,1679831249,-2958048613879842880,Max @ WebMakers,ğŸ™ğŸ«§Tako Protocol,1964332806
zzzaaaiiinnnk,886880033,-3376535695270618197,Zain | Itheum,ğŸ™ğŸ«§Tako Protocol,1964332806
Mod0x69,6294575024,1406649422490893617,Frankie Moonshot,ğŸ™ğŸ«§Tako Protocol,1964332806
chrisliquin,5544879230,-7987222701595436958,Chris Liquin,ğŸ™ğŸ«§Tako Protocol,1964332806
Edanulloh,430602529,9159650747579748636,E-KAME $TBEAR,ğŸ™ğŸ«§Tako Protocol,1964332806
eyensium,965118529,9068127457950585508,eyensium,ğŸ™ğŸ«§Tako Protocol,1964332806
metatxn,903932989,-2347008814587236656,Prayag Singh | SOCLLY,ğŸ™ğŸ«§Tako Protocol,1964332806
wazzup_1980,6568906254,-6346376927550315772,Wat Kurtsaeng,ğŸ™ğŸ«§Tako Protocol,1964332806
jithin,64194385,4475708710688150476,Jithin Raj,ğŸ™ğŸ«§Tako Protocol,1964332806
omiraclx,594195284,4203379155450947221,Miraculous Owonubi,ğŸ™ğŸ«§Tako Protocol,1964332806
Dorkonn,1542663709,1368138076986227470,Eva,ğŸ™ğŸ«§Tako Protocol,1964332806
hamidogaa,75825055,4167924822193271559,Hamid W-coin,ğŸ™ğŸ«§Tako Protocol,1964332806
ChoyonChowdhury,1844795717,-4041252989325057861,Choyon Chowdhury ğ•||ğŸ‡¨ğŸ‡¦,ğŸ™ğŸ«§Tako Protocol,1964332806
Alina_Everstake,1295240434,5734208014688033260,"Alina | Everstake [OOO, till 7th]",ğŸ™ğŸ«§Tako Protocol,1964332806
LucasFair,1186455084,-1247310101165294103,Lucas,ğŸ™ğŸ«§Tako Protocol,1964332806
mkrtchyantigran,539157904,8654233327946579843,Tigran B. Mkrtchyan,ğŸ™ğŸ«§Tako Protocol,1964332806
MYNTVC,113537205,2247384178608125242,Eric Benz,ğŸ™ğŸ«§Tako Protocol,1964332806
venkatweb3,6007144320,-7679228736800410496,Venkat,ğŸ™ğŸ«§Tako Protocol,1964332806
Jutmania,5338282536,3807137561109514376,Jake,ğŸ™ğŸ«§Tako Protocol,1964332806
katherholt,461609367,5335615513279091299,katherholt,ğŸ™ğŸ«§Tako Protocol,1964332806
GeorgeJunior33,1665036147,-5791394217982216646,George Jr.,ğŸ™ğŸ«§Tako Protocol,1964332806
balendustg,1149170670,-389827919743618553,balendustg,ğŸ™ğŸ«§Tako Protocol,1964332806
moonwalker_dark,995940588,-8567898524831720400,DivX,ğŸ™ğŸ«§Tako Protocol,1964332806
nellapn,292482079,4170700375276437620,Nick Allen,ğŸ™ğŸ«§Tako Protocol,1964332806
shrutipanjwani,1247367837,7614520657385759492,Shrutz,ğŸ™ğŸ«§Tako Protocol,1964332806
frobenius,226188,-1788350752196523102,Vitaly,ğŸ™ğŸ«§Tako Protocol,1964332806
loekTheDreamer,383085633,-4215329650167008600,Luke Carelsen,ğŸ™ğŸ«§Tako Protocol,1964332806
permaoptimist,333151445,-5043488175443357267,Benjamin Rameau,ğŸ™ğŸ«§Tako Protocol,1964332806
RWA_BAR,959973373,-408357543365411222,Bar | RWA Tokens,ğŸ™ğŸ«§Tako Protocol,1964332806
limlogan,1615215197,3548144359849035295,Logan,ğŸ™ğŸ«§Tako Protocol,1964332806
tifflung,2008606912,2239347964066977429,Tiffy | Plume,ğŸ™ğŸ«§Tako Protocol,1964332806
mortytokyo,511882199,-3807601353619935375,Morty,ğŸ™ğŸ«§Tako Protocol,1964332806
PyxelCEO,600197549,1737611343004059023,Richard,ğŸ™ğŸ«§Tako Protocol,1964332806
jwhashglobal,1627038298,169918142100298462,Jensen,ğŸ™ğŸ«§Tako Protocol,1964332806
HKJ03,1620666140,4727116499488297113,Harshit Jaiswal,ğŸ™ğŸ«§Tako Protocol,1964332806
moe0q,6850667470,5605153122424490210,Moe Q,ğŸ™ğŸ«§Tako Protocol,1964332806
annajoppert,1354301536,-250900086679732857,Anna Joppert,ğŸ™ğŸ«§Tako Protocol,1964332806
